================ Training Loss (Tue Jun 23 10:50:23 2026) ================
(epoch: 210, iters: 1, time: 0.045) lr_pixelwise: 189703.281 rec: 319789.188 rec_orthg: 34996.766 msi_pixelwise: 130085.898 manifold: 35.955 manifold_spa: 4267.079 msi_ss_msi: 113758.938 msi_ss_lr: 33936.074 lrmsi_pixelwise: 2005.202 joint: 369755.969 
(epoch: 220, iters: 1, time: 0.048) lr_pixelwise: 190581.531 rec: 320934.750 rec_orthg: 34841.273 msi_pixelwise: 130353.203 manifold: 37.175 manifold_spa: 4389.908 msi_ss_msi: 113444.266 msi_ss_lr: 33881.180 lrmsi_pixelwise: 2014.599 joint: 370710.031 
(epoch: 230, iters: 1, time: 0.042) lr_pixelwise: 190523.297 rec: 320562.125 rec_orthg: 36063.656 msi_pixelwise: 130038.820 manifold: 37.841 manifold_spa: 4507.859 msi_ss_msi: 113768.352 msi_ss_lr: 34203.938 lrmsi_pixelwise: 2054.574 joint: 371628.469 
(epoch: 240, iters: 1, time: 0.044) lr_pixelwise: 190528.109 rec: 319251.000 rec_orthg: 75819.867 msi_pixelwise: 128722.883 manifold: 38.495 manifold_spa: 4623.501 msi_ss_msi: 132078.531 msi_ss_lr: 34250.246 lrmsi_pixelwise: 2155.389 joint: 411919.281 
(epoch: 250, iters: 1, time: 0.046) lr_pixelwise: 190232.375 rec: 320574.938 rec_orthg: 41102.617 msi_pixelwise: 130342.562 manifold: 40.329 manifold_spa: 4766.894 msi_ss_msi: 122592.133 msi_ss_lr: 33781.051 lrmsi_pixelwise: 4477.226 joint: 377762.594 
(epoch: 260, iters: 1, time: 0.044) lr_pixelwise: 189392.719 rec: 320175.938 rec_orthg: 34590.570 msi_pixelwise: 130783.219 manifold: 42.550 manifold_spa: 4927.678 msi_ss_msi: 114020.219 msi_ss_lr: 33691.711 lrmsi_pixelwise: 1940.495 joint: 369731.750 
(epoch: 270, iters: 1, time: 0.043) lr_pixelwise: 186172.875 rec: 316850.250 rec_orthg: 34423.656 msi_pixelwise: 130677.375 manifold: 43.584 manifold_spa: 5097.450 msi_ss_msi: 113237.688 msi_ss_lr: 33767.406 lrmsi_pixelwise: 1920.756 joint: 366166.500 
(epoch: 280, iters: 1, time: 0.043) lr_pixelwise: 187088.609 rec: 318151.438 rec_orthg: 32556.016 msi_pixelwise: 131062.844 manifold: 44.075 manifold_spa: 5239.364 msi_ss_msi: 113203.672 msi_ss_lr: 33736.992 lrmsi_pixelwise: 2333.857 joint: 365634.875 
(epoch: 290, iters: 1, time: 0.043) lr_pixelwise: 185589.625 rec: 316646.062 rec_orthg: 31475.762 msi_pixelwise: 131056.438 manifold: 44.313 manifold_spa: 5359.512 msi_ss_msi: 112971.328 msi_ss_lr: 33618.016 lrmsi_pixelwise: 1963.499 joint: 362977.094 
(epoch: 300, iters: 1, time: 0.044) lr_pixelwise: 187155.406 rec: 318170.062 rec_orthg: 31758.254 msi_pixelwise: 131014.664 manifold: 44.959 manifold_spa: 5488.008 msi_ss_msi: 122486.992 msi_ss_lr: 33827.500 lrmsi_pixelwise: 1700.935 joint: 365729.844 
