================ Training Loss (Tue Jun 23 11:14:47 2026) ================
(epoch: 210, iters: 1, time: 0.045) lr_pixelwise: 46825.867 rec: 79058.375 rec_orthg: 33529.207 msi_pixelwise: 32232.510 manifold: 34.841 manifold_spa: 3529.360 msi_ss_msi: 19948.678 msi_ss_lr: 27799.957 lrmsi_pixelwise: 809.972 joint: 117478.766 
(epoch: 220, iters: 1, time: 0.045) lr_pixelwise: 46872.594 rec: 79122.617 rec_orthg: 33144.969 msi_pixelwise: 32250.023 manifold: 35.068 manifold_spa: 3630.386 msi_ss_msi: 19778.637 msi_ss_lr: 27836.617 lrmsi_pixelwise: 762.634 joint: 117141.711 
(epoch: 230, iters: 1, time: 0.035) lr_pixelwise: 46841.430 rec: 79061.375 rec_orthg: 33143.176 msi_pixelwise: 32219.941 manifold: 35.403 manifold_spa: 3742.089 msi_ss_msi: 19647.047 msi_ss_lr: 27901.031 lrmsi_pixelwise: 753.383 joint: 117072.156 
(epoch: 240, iters: 1, time: 0.037) lr_pixelwise: 46826.516 rec: 79036.164 rec_orthg: 33315.973 msi_pixelwise: 32209.646 manifold: 35.667 manifold_spa: 3822.706 msi_ss_msi: 20098.373 msi_ss_lr: 27942.598 lrmsi_pixelwise: 820.342 joint: 117276.539 
(epoch: 250, iters: 1, time: 0.037) lr_pixelwise: 46858.762 rec: 79024.656 rec_orthg: 32421.730 msi_pixelwise: 32165.895 manifold: 35.965 manifold_spa: 3911.899 msi_ss_msi: 19976.770 msi_ss_lr: 27842.117 lrmsi_pixelwise: 829.470 joint: 116350.383 
(epoch: 260, iters: 1, time: 0.037) lr_pixelwise: 46893.930 rec: 79151.789 rec_orthg: 33012.137 msi_pixelwise: 32257.857 manifold: 36.305 manifold_spa: 3989.511 msi_ss_msi: 21273.387 msi_ss_lr: 27863.055 lrmsi_pixelwise: 819.602 joint: 117199.461 
(epoch: 270, iters: 1, time: 0.042) lr_pixelwise: 46823.609 rec: 78978.383 rec_orthg: 31847.811 msi_pixelwise: 32154.773 manifold: 36.556 manifold_spa: 4053.750 msi_ss_msi: 19970.361 msi_ss_lr: 27860.684 lrmsi_pixelwise: 797.905 joint: 115729.672 
(epoch: 280, iters: 1, time: 0.044) lr_pixelwise: 46798.816 rec: 78913.500 rec_orthg: 30694.521 msi_pixelwise: 32114.686 manifold: 36.824 manifold_spa: 4135.946 msi_ss_msi: 20804.105 msi_ss_lr: 27864.758 lrmsi_pixelwise: 785.148 joint: 114594.820 
(epoch: 290, iters: 1, time: 0.039) lr_pixelwise: 46805.664 rec: 78933.469 rec_orthg: 30378.270 msi_pixelwise: 32127.809 manifold: 37.042 manifold_spa: 4209.384 msi_ss_msi: 19768.404 msi_ss_lr: 27868.586 lrmsi_pixelwise: 808.931 joint: 114198.461 
(epoch: 300, iters: 1, time: 0.043) lr_pixelwise: 46773.379 rec: 78874.125 rec_orthg: 30676.773 msi_pixelwise: 32100.750 manifold: 37.356 manifold_spa: 4275.581 msi_ss_msi: 20310.449 msi_ss_lr: 28065.926 lrmsi_pixelwise: 808.704 joint: 114512.203 
